resident,gender,job,age,position,price,survey,age2,resident2,gender2,age3
1,1,1,26,4,5.1,5,청년층,특별시,남자,1
2,1,2,54,1,4.2,4,장년층,광역시,남자,3
4,2,NA,45,2,3.5,4,중년층,광역시,여자,2
5,1,3,62,1,5,5,장년층,시구군,남자,3
3,1,2,57,NA,5.4,4,장년층,광역시,남자,3
2,2,1,36,3,4.1,2,중년층,광역시,여자,2
2,1,2,37,3,4.9,3,중년층,광역시,남자,2
5,2,NA,29,4,2.3,1,청년층,시구군,여자,1
3,1,3,35,4,4.2,3,중년층,광역시,남자,2
1,1,1,56,1,6.7,4,장년층,특별시,남자,3
2,2,3,20,5,4.3,4,청년층,광역시,여자,1
1,1,1,49,2,5.7,4,장년층,특별시,남자,3
3,1,2,49,2,4.6,5,장년층,광역시,남자,3
2,1,3,49,2,5.1,4,장년층,광역시,남자,3
1,2,2,25,5,2.1,4,청년층,특별시,여자,1
1,1,1,57,1,5.1,4,장년층,특별시,남자,3
1,1,NA,56,1,6.2,4,장년층,특별시,남자,3
1,1,3,21,5,5.1,4,청년층,특별시,남자,1
2,1,1,69,1,4.1,5,장년층,광역시,남자,3
1,1,2,63,1,4.1,4,장년층,특별시,남자,3
2,2,3,34,4,2.3,3,중년층,광역시,여자,2
1,1,1,26,4,5,3,청년층,특별시,남자,1
2,1,2,38,3,5.2,3,중년층,광역시,남자,2
1,2,1,57,1,4.7,3,장년층,특별시,여자,3
2,1,2,49,2,4.4,3,장년층,광역시,남자,3
1,1,1,65,1,5.2,4,장년층,특별시,남자,3
2,2,1,49,2,6.3,4,장년층,광역시,여자,3
5,1,3,23,5,4,5,청년층,시구군,남자,1
1,1,1,63,1,5.3,4,장년층,특별시,남자,3
2,1,2,45,2,4.2,3,중년층,광역시,남자,2
4,2,1,29,4,4.1,3,청년층,광역시,여자,1
2,1,3,28,4,5,1,청년층,광역시,남자,1
3,1,1,60,1,7.1,4,장년층,광역시,남자,3
5,1,2,32,4,4,4,중년층,시구군,남자,2
1,1,3,38,3,5.3,4,중년층,특별시,남자,2
1,1,3,65,1,4.7,2,장년층,특별시,남자,3
4,1,2,24,5,6.2,4,청년층,광역시,남자,1
1,2,2,61,1,7,3,장년층,특별시,여자,3
2,1,2,41,2,6.4,4,중년층,광역시,남자,2
1,1,1,63,1,5.1,2,장년층,특별시,남자,3
1,1,3,30,4,5.5,4,청년층,특별시,남자,1
1,2,2,37,3,6.4,5,중년층,특별시,여자,2
1,1,1,29,4,6.3,4,청년층,특별시,남자,1
2,1,2,25,5,4.1,4,청년층,광역시,남자,1
1,2,2,36,3,4.1,3,중년층,특별시,여자,2
1,1,1,47,2,5,2,장년층,특별시,남자,3
3,1,3,64,1,3.5,3,장년층,광역시,남자,3
