"Date","Open","High","Low","Close","Volume"
2016-07-21,1540000,1547000,1537000,1543000,158995
2016-07-20,1533000,1542000,1524000,1540000,154984
2016-07-19,1528000,1540000,1522000,1533000,202089
2016-07-18,1518000,1533000,1500000,1533000,218383
2016-07-15,1500000,1522000,1486000,1518000,231690
2016-07-14,1481000,1500000,1476000,1500000,247548
2016-07-13,1496000,1496000,1463000,1481000,197935
2016-07-12,1499000,1505000,1460000,1464000,219428
2016-07-11,1460000,1500000,1460000,1489000,268606
2016-07-08,1450000,1475000,1449000,1460000,246773
2016-07-07,1421000,1450000,1416000,1450000,226202
2016-07-06,1447000,1452000,1412000,1421000,320468
2016-07-05,1466000,1475000,1462000,1469000,155389
2016-07-04,1464000,1474000,1451000,1466000,156639
2016-07-01,1427000,1479000,1427000,1466000,286582
2016-06-30,1408000,1445000,1397000,1425000,272883
2016-06-29,1408000,1412000,1391000,1396000,208090
2016-06-28,1390000,1404000,1379000,1399000,213829
2016-06-27,1400000,1405000,1385000,1398000,236573
2016-06-24,1445000,1445000,1360000,1400000,408920
2016-06-23,1444000,1445000,1427000,1430000,224121
2016-06-22,1446000,1450000,1431000,1445000,177102
2016-06-21,1432000,1449000,1426000,1448000,193560
2016-06-20,1427000,1448000,1426000,1431000,268408
2016-06-17,1410000,1435000,1410000,1426000,328256
2016-06-16,1413000,1417000,1395000,1409000,288743
2016-06-15,1385000,1416000,1383000,1413000,301979
2016-06-14,1371000,1386000,1369000,1380000,243251
2016-06-13,1396000,1396000,1362000,1371000,290039
2016-06-10,1424000,1425000,1404000,1406000,289005
2016-06-09,1408000,1430000,1406000,1430000,512553
2016-06-08,1419000,1419000,1389000,1406000,346942
2016-06-07,1386000,1402000,1380000,1398000,459213
2016-06-03,1370000,1379000,1364000,1377000,310428
2016-06-02,1350000,1372000,1346000,1365000,472853
2016-06-01,1298000,1341000,1295000,1333000,464371
2016-05-31,1280000,1300000,1268000,1292000,1198180
2016-05-30,1297000,1297000,1274000,1280000,204641
2016-05-27,1300000,1301000,1273000,1282000,261902
2016-05-26,1299000,1303000,1295000,1296000,231666
2016-05-25,1283000,1298000,1274000,1295000,236950
2016-05-24,1286000,1289000,1268000,1271000,191292
2016-05-23,1269000,1286000,1269000,1286000,160641
2016-05-20,1270000,1280000,1269000,1269000,159126
2016-05-19,1268000,1277000,1266000,1270000,184093
2016-05-18,1264000,1271000,1255000,1268000,173857
2016-05-17,1249000,1265000,1249000,1264000,181240
2016-05-16,1253000,1263000,1247000,1248000,232580
2016-05-13,1281000,1281000,1251000,1253000,244629
2016-05-12,1292000,1292000,1275000,1281000,151283
