"","newstitle","newspapername"
"1","9급 공무원 합격 55세 김의천씨 버스기사 일하며 인강 들어","서울경제"
"2","낙태 중 아기 울음 터졌는데..숨지게 한 의사 구속","연합뉴스"
"3","정의당 나경원 연설, 시작부터 헛웃음..反촛불 퇴행 선포문","뉴시스"
"4","[단독] 조국·문재인 비판했다고 맘카페서 '강퇴'.. 운영진 상대 집단소송 낸다","세계일보"
"5","나 비정규직이었어? 정규직 착각한 50만명 드러났다","머니투데이"
"6","나경원 대표연설에 여야 4당 '혹평' vs 한국당 투쟁 다짐(종합)","뉴스1"
"7","돌아가면 죽는다 미스 이란 출신 여성, 필리핀 망명 요청","한국일보"
"8","日포토레지스트 업체들 韓수출규제 큰 영향없어..계속 수출","뉴시스"
"9","애인 자살 부추긴 한인 여대생 국내 도피..美 검찰 기소","서울신문"
"10","文의장, 정기국회 파행 막고자 부의 연기한 듯..고뇌의 결단","연합뉴스"
"11","승객이 두고내린 1억2천만원 돌려준 서울 택시기사","뉴스1"
"12","MLB 사무국, WS 5차전서 가슴 노출한 여성 '영구 출입금지'","연합뉴스"
"13","대검 나경원 악플 수사상황 보고하라..일선청 지시","뉴시스"
"14","집창촌은 떠나고 쓰레기만 쌓여가는 해운대..시민 눈쌀","뉴스1"
"15","애매한 손동작..남학생 성기 만지려한 혐의 학교경비원 무죄","뉴스1"
"16","알바그다디 속옷으로 미리 신원 확인..쿠르드 요원이 확보(종합)","연합뉴스"
"17","김정태 특정 후보 유세? 아이와 산책하다 사진찍힌 것 해명[결정적장면]","뉴스엔"
"18","'학위 장사' 폭로한 교수의 죽음, 대학의 '적반하장'","오마이뉴스"
"19","치과임플란트 싸져서 좋긴 한데..소비자불만 매년 58%씩 증가","뉴스1"
"20","광주·전남, 국비 확보 '비상'..'한국당 제동'에 정치권 반발(종합)","뉴시스"
"21","타일러 일침, '82년생 김지영' 논란에 공감 안돼('김현정의 쎈터뷰')","스타투데이"
"22","샤오미 CEO 1억 화소 카메라로 얼굴 촬영하니..","지디넷코리아"
"23","한국도로공사 JTBC보도는 허위사실, 정정보도 요청할 것","뉴스1"
"24","[단독] 지숙, 기업인 이두희와 핑크빛 열애 진지한 만남 中","스포츠투데이"
"25","미얀마군, 로힝야족 남성 조직적 성폭력..피해자 수치심에 말도 못해","서울신문"
"26","친아들을 강도로 착각하고 총 쏜 美 경찰..또 오인 사격","서울신문"
"27","인도 땅속 구멍 빠진 아이 구출 너무 늦었다..사망 확인","연합뉴스"
"28","진짜 좋은 직장의 조건 나왔다..'건강한 일자리 가이드' 발표","뉴스1"
"29","전국이 멧돼지 공포..서식지 밀려난 개체들 곳곳에서 출몰","연합뉴스"
"30","지숙 측 이두희와 열애 맞아, 최근 교제 시작..아직 조심스러워 [공식입장]","마이데일리"
"31","남자 없게 생겼네 악플 범인 잡고보니 두 딸 아빠입니다","중앙일보"
"32","평양 다녀온 한국역도, 남남 같았다, 입국수속 때 라면 압수","중앙일보"
"33","군인권센터 검찰, 기무사 계엄령 문건 작성 의혹 은폐했다","뉴스1"
"34","인도네시아, 니켈 원광 수출 즉시 중단 결정..직접 제련","연합뉴스"
"35","[SC리뷰]심장 터질뻔..'동상이몽2' 강남♥이상화, 감동 결혼식→이벤트 위기","스포츠조선"
"36","IS 새 지도자 카르다시는 누구?..'교수''파괴자'로 불려","뉴스1"
"37","깎아달라 했는데 무시당했다..중고거래 상대 여성 살해(종합)","연합뉴스"
"38","[오피셜]'역대 최고 대우' 두산 김태형 감독, 3년 28억원에 재계약","스포츠조선"
"39","中 군용기, 핫라인으로 첫 통보후 이어도 KADIZ 진입(종합)","연합뉴스"
"40","재개발로 나온 임대주택 전량 공공부문이 인수 추진","연합뉴스"
"41","[단독]'솔로 컴백' 슈 심경고백 1년전 실수 반성..세 아이 母로서 용기냈다","스포츠조선"
"42","허블 우주망원경, 할로윈데이 맞아 소름 끼치는 '우주 얼굴' 공개","지디넷코리아"
"43","[영상] '접촉사고 시비' 볼썽사나운 나스카 경주대회 망신","KBS"
"44","배영수 미련 없이 은퇴합니다..가장 배영수다운 선택","연합뉴스"
"45","허문회 롯데 감독 부임 알았던 이동욱 NC 감독 롯데의 좋은 선택","스포츠경향"
"46","'빈집'에 울려 퍼지는 지방도시의 신음","시사IN"
"47","조종사가 기내 화장실 몰카 설치 '실시간 시청'","뉴스1"
"48","[단독] 북한 축구가 또.. 12월 부산 동아시안컵 돌연 불참","뉴스1"
"49","전 국민 월 30만원 기본소득 지급.. 2년 안에 가능하다","한국일보"
"50","'아내의 맛' 함소원, 中 진화 부모 합가 선언에 멘붕[오늘TV]","뉴스엔"
