"","comicName","comicSum","comicGrade"
"1","엘레프","※예수시대의 제사장을 주인공으로 한 만화입니다.특정 종교를 폄하하려는 의도로 그려진 것이 아님을 미리 말씀드립니다. ---------","9.73"
"2","묵회","즐겁게 보아주세요. http://bongdal.org","9.39"
"3","가족사진","미스테리 가족드라마","8.87"
"4","연옥님이 보고계셔","언제 어디서나 어떻게든 나를 보고 있는 존재라면.","9.62"
"5","스쿨라이프","스쿨라이프","9.37"
"6","이그니션","후기","8.04"
"7","천짜의 동동다리","설렘없는 날 찾아오는 봄날의 진눈깨비, 천짜의 아으동동다리 ","7.02"
"8","블랙젤리","젠체의 일상속으로...","6.75"
"9","다이어트 뻬띠슈","다이어트하는 돼지의 슬프도록 아름다운 스토리","7.74"
"10","[실화] 사랑하니까 시즌1","사랑하니까는 20대의슬픈사랑이야기에 올라온 사연을 바탕으로 만든 카툰에세이 입니다","9.76"
"11","스풍동산","꿈과 희망의 스풍동산","7.20"
"12","도레미친만화","대게 실화이거나 팬분들이 보내주신 소재를 가지고 만화를 그립니다.","6.96"
"13","반쪽짜리 이야기","반쪽짜리 이야기","8.45"
"14","야도닷껌","야도닷껌","5.52"
"15","포토쥬스","누똥바의 포토쥬스","6.40"
"16","김모군의 일기","김모군의 일기","7.17"
"17","[지냥이] 친절한 '공익'씨","공감개그만화","5.15"
"18","안개의 시","우린 어쩌면 안개속에서 길을 잃어 헤매고 있는 건지도 몰라.","9.73"
"19","[H愛TE]","박성철","9.63"
"20","MODEL (모델)","'도전 수퍼모델' 같은 이야기를 생각하신다면... 좀 민망합니다. 후후;;;","8.14"
"21","인디언","내가 어릴적에...","9.76"
"22","놓지마정신줄","본격 유체이탈 예방프로젝트 웹툰","9.43"
"23","어른스러운 철구","공상 비과학 만화 <어른스러운 철구>","9.68"
"24","k-9 (canine)","good man's report","9.78"
"25","미미의일상","4차원밥맛소녀!","9.47"
"26","블랙마리아","블랙마리아","9.17"
"27","도치생각","고슴도치처럼 변해버린 사람의 세상사는 이야기.","9.33"
"28","흐드러지다","황제암살을 둘러싼 음모와 배신, 그리고 비극","9.73"
"29","개판","투견 바울의 이야기","9.69"
"30","그리고 그들은","타인에 의한 상처와 치유, 그 경계에서 행복한 결말을 꿈꾸는 이들의 이야기","9.57"
"31","그린스마일","멸종위기에 처한 야생동물의 환경이야기","9.55"
"32","무당벌레꼬린야","행복,나눔,일상","9.44"
