구별,동,1인가구
강남구,개포1동,1748
강남구,개포2동,2194
강남구,개포4동,2408
강남구,논현1동,6419
강남구,논현2동,4063
강남구,대치1동,288
강남구,대치2동,1544
강남구,대치4동,3779
강남구,도곡1동,1651
강남구,도곡2동,1435
강남구,삼성1동,1142
강남구,삼성2동,3659
강남구,세곡동,3573
강남구,수서동,2412
강남구,신사동,2074
강남구,압구정동,1773
강남구,역삼1동,10553
강남구,역삼2동,3771
강남구,일원1동,2186
강남구,일원2동,1511
강남구,일원본동,908
강남구,청담동,2806
강동구,강일동,1048
강동구,고덕1동,878
강동구,고덕2동,1254
강동구,길동,5141
강동구,둔촌1동,552
강동구,둔촌2동,1957
강동구,명일1동,1322
강동구,명일2동,550
강동구,상일동,1268
강동구,성내1동,1404
강동구,성내2동,3945
강동구,성내3동,2514
강동구,암사1동,3966
강동구,암사2동,1254
강동구,암사3동,589
강동구,천호1동,3213
강동구,천호2동,5212
강동구,천호3동,3830
강북구,미아동,3486
강북구,번1동,3723
강북구,번2동,1635
강북구,번3동,1479
강북구,삼각산동,1690
강북구,삼양동,2836
강북구,송중동,3626
강북구,송천동,3866
강북구,수유1동,2664
강북구,수유2동,1978
강북구,수유3동,3877
강북구,우이동,1844
강북구,인수동,3083
강서구,가양1동,2204
강서구,가양2동,2817
강서구,가양3동,2269
강서구,공항동,3432
강서구,등촌1동,3827
강서구,등촌2동,1496
강서구,등촌3동,3640
강서구,발산1동,1627
강서구,방화1동,2875
강서구,방화2동,3295
강서구,방화3동,3053
강서구,염창동,1767
강서구,우장산동,2273
강서구,화곡1동,7385
강서구,화곡2동,1834
강서구,화곡3동,1822
강서구,화곡4동,2399
강서구,화곡6동,2624
강서구,화곡8동,2480
강서구,화곡본동,3871
관악구,낙성대동,5449
관악구,난곡동,3364
관악구,난향동,1090
관악구,남현동,2917
관악구,대학동,8984
관악구,미성동,3342
관악구,보라매동,3576
관악구,삼성동,2736
관악구,서림동,7016
관악구,서원동,5836
관악구,성현동,2400
관악구,신림동,9098
관악구,신사동,5321
관악구,신원동,3605
관악구,은천동,4181
관악구,인헌동,5732
관악구,조원동,3927
관악구,중앙동,3767
관악구,청룡동,9221
관악구,청림동,1284
관악구,행운동,7456
광진구,광장동,1411
광진구,구의1동,4587
광진구,구의2동,2474
광진구,구의3동,2445
광진구,군자동,5696
광진구,능동,2796
광진구,자양1동,3950
광진구,자양2동,2525
광진구,자양3동,1755
광진구,자양4동,4558
광진구,중곡1동,2490
광진구,중곡2동,2870
광진구,중곡3동,2478
광진구,중곡4동,3049
광진구,화양동,11126
구로구,가리봉동,2303
구로구,개봉1동,2917
구로구,개봉2동,1961
구로구,개봉3동,1499
구로구,고척1동,1904
구로구,고척2동,2600
구로구,구로1동,1149
구로구,구로2동,4266
구로구,구로3동,6118
구로구,구로4동,3318
구로구,구로5동,4317
구로구,수궁동,1596
구로구,신도림동,1759
구로구,오류1동,2831
구로구,오류2동,2450
금천구,가산동,6116
금천구,독산1동,5671
금천구,독산2동,2742
금천구,독산3동,3592
금천구,독산4동,2334
금천구,시흥1동,3864
금천구,시흥2동,1288
금천구,시흥3동,905
금천구,시흥4동,2048
금천구,시흥5동,2659
노원구,공릉1동,5784
노원구,공릉2동,3903
노원구,상계10동,1364
노원구,상계1동,2811
노원구,상계2동,2073
노원구,상계34동,3633
노원구,상계5동,2307
노원구,상계67동,2814
노원구,상계8동,1349
노원구,상계9동,1297
노원구,월계1동,3236
노원구,월계2동,2947
노원구,월계3동,2505
노원구,중계1동,811
노원구,중계23동,3180
노원구,중계4동,1550
노원구,중계본동,1026
노원구,하계1동,2420
노원구,하계2동,1119
도봉구,도봉1동,2424
도봉구,도봉2동,2054
도봉구,방학1동,2977
도봉구,방학2동,2172
도봉구,방학3동,1049
도봉구,쌍문1동,1966
도봉구,쌍문2동,1962
도봉구,쌍문3동,2208
도봉구,쌍문4동,970
도봉구,창1동,2411
도봉구,창2동,2219
도봉구,창3동,1695
도봉구,창4동,1656
도봉구,창5동,1585
동대문구,답십리1동,3042
동대문구,답십리2동,2262
동대문구,용신동,5803
동대문구,이문1동,7966
동대문구,이문2동,2182
동대문구,장안1동,3841
동대문구,장안2동,2668
동대문구,전농1동,4986
동대문구,전농2동,1491
동대문구,제기동,4542
동대문구,청량리동,3060
동대문구,회기동,4030
동대문구,휘경1동,3395
동대문구,휘경2동,3616
동작구,노량진1동,7270
동작구,노량진2동,2949
동작구,대방동,4042
동작구,사당1동,4615
동작구,사당2동,2706
동작구,사당3동,2136
동작구,사당4동,1713
동작구,사당5동,1524
동작구,상도1동,7160
동작구,상도2동,3390
동작구,상도3동,3017
동작구,상도4동,3075
동작구,신대방1동,2296
동작구,신대방2동,2431
동작구,흑석동,5630
마포구,공덕동,4435
마포구,대흥동,3990
마포구,도화동,2216
마포구,망원1동,3108
마포구,망원2동,1866
마포구,상암동,2733
마포구,서강동,4341
마포구,서교동,7519
마포구,성산1동,2785
마포구,성산2동,3304
마포구,신수동,2922
마포구,아현동,2325
마포구,연남동,3465
마포구,염리동,2422
마포구,용강동,1893
마포구,합정동,3113
서대문구,남가좌1동,340
서대문구,남가좌2동,4073
서대문구,북가좌1동,922
서대문구,북가좌2동,2911
서대문구,북아현동,1485
서대문구,신촌동,7649
서대문구,연희동,7219
서대문구,천연동,2195
서대문구,충현동,2766
서대문구,홍은1동,2163
서대문구,홍은2동,3080
서대문구,홍제1동,2215
서대문구,홍제2동,1165
서대문구,홍제3동,1977
서초구,내곡동,1123
서초구,반포1동,4826
서초구,반포2동,499
서초구,반포3동,759
서초구,반포4동,1079
서초구,반포본동,265
서초구,방배1동,1914
서초구,방배2동,2594
서초구,방배3동,1359
서초구,방배4동,2407
서초구,방배본동,1475
서초구,서초1동,2678
서초구,서초2동,1902
서초구,서초3동,3095
서초구,서초4동,1277
서초구,양재1동,3689
