"","shopname","lat","lng","addr","telephone"
"1","역삼아레나빌딩","37.501087","127.043069","서울특별시 강남구 언주로 425 (역삼동)","02-568-3762"
"2","논현역사거리","37.510178","127.022223","서울특별시 강남구 강남대로 538 (논현동)","02-3442-3672"
"3","국기원사거리","37.499517","127.031495","서울특별시 강남구 테헤란로 125 (역삼동)","02-568-3668"
"4","대치대원빌딩R","37.494668","127.062583","서울특별시 강남구 남부순환로 2947 (대치동)","02-568-3704"
"5","삼성역섬유센터R","37.507750","127.060651","서울특별시 강남구 테헤란로 518 (대치동)","02-568-3648"
"6","압구정R","37.5273669","127.033061","서울특별시 강남구 언주로 861 (신사동)","02-541-3622"
"7","수서역R","37.488008","127.102650","서울특별시 강남구 광평로 281 (수서동)","02-6181-3688"
"8","양재강남빌딩R","37.485192","127.036685","서울특별시 강남구 남부순환로 2621 (도곡동)","02-571-3604"
"9","선릉동신빌딩R","37.505321","127.050409","서울특별시 강남구 테헤란로 409 (삼성동)","02-2051-3562"
"10","봉은사로선정릉","37.511293","127.048409","서울특별시 강남구 봉은사로 446 (삼성동)","02-539-3564"
"11","강남오거리","37.502117","127.026672","서울특별시 강남구 봉은사로2길 39 (역삼동)","02-557-3484"
"12","스타필드코엑스몰R","37.50999","127.061455","서울특별시 강남구 영동대로 513 (삼성동)","02-6002-3467"
"13","강남구청정문","37.518181","127.045995","서울특별시 강남구 학동로 419 (청담동)","02-514-3397"
"14","도곡공원","37.492805","127.041309","서울특별시 강남구 도곡로 205 (역삼동)","02-565-3496"
"15","강남R","37.497711","127.028439","서울특별시 강남구 강남대로 390 (역삼동)","02-561-3478"
"16","대치은마사거리","37.498973","127.060172","서울특별시 강남구 도곡로 457 (대치동)","02-554-3315"
"17","청담영동대로","37.522156","127.056449","서울특별시 강남구 영동대로 720 (청담동)","02-3443-3371"
"18","압구정","37.526283","127.029560","서울특별시 강남구 압구정로30길 17 (신사동)","02-541-3306"
"19","신사가로수","37.521852","127.022510","서울특별시 강남구 압구정로12길 32 (신사동)","02-3446-3356"
"20","청담스타R","37.525216","127.041827","서울특별시 강남구 도산대로57길 24 (청담동)","02-514-3364"
"21","강남우성","37.492396","127.030910","서울특별시 강남구 강남대로 328 (역삼동)","02-565-3347"
"22","학동사거리","37.52236449999999","127.03795430000002","서울특별시 강남구 도산대로 328 (논현동) HS빌딩","02-758-8971"
"23","대치사거리","37.503331","127.058817","서울특별시 강남구 삼성로 402 (대치동)","02-561-3287"
