충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
남부초 공영주차장,주차장 내,서울특별시,연중무휴,0:00,0:00,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,서울특별시 관악구 남부순환로163길 14,서울특별시 관악구 신림동 467,환경부 한국환경공단,032-590-3683,37.484849,126.922112,2018-01-01
조원동 공영주차장,주차장 내,서울특별시,연중무휴,0:00,0:00,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,서울특별시 관악구 조원중앙로2길 19,서울특별시 관악구 신림동 571-6,환경부 한국환경공단,032-590-3683,37.481022,126.905682,2018-01-01
서울대정문 옆 구거부지 급속충전소,서울대정문 옆 구거부지(서울대학교 버스정류장 옆),서울특별시,연중무휴,0:00,0:00,N,Y,AC3상+DC차데모+DC콤보,0,2,N,서울특별시 관악구 신림동 799-3,서울특별시 관악구 신림동 799-3,환경부 한국환경공단,032-590-3683,37.466421,126.948761,2018-01-01
비전 공영주차장,주차장 맨 끝,경기도,없음,0:00,23:59,Y,N,N,1,0,N,경기도 평택시 비전동 629-1,경기도 평택시 비전동 629-1,한국자동차환경협희,1661-9408,36.9971464,127.079841,2018-02-19
이마트 평택점,3층 주차장 승강기 입구,경기도,"둘째, 넷째 일요일",10:00,23:59,Y,N,N,1,0,N,경기도 평택시 영신로 29,경기도 평택시 지제동 50,중앙제어,031-960-6800,37.0214553,127.066828,2018-02-19
송탄출장소,지상1층,경기도,연중무휴,17:00,23:59,Y,N,N,1,0,N,경기도 평택시 경기대로 1366,경기도 평택시 서정동 800,KODI.S,1599-8541,37.0668128,127.056189,2018-02-19
송탄역 공영주차장,주차장 맨 끝,경기도,없음,0:00,23:59,Y,N,N,1,0,N,경기도 평택시 신장동 264-2,경기도 평택시 신장동 264-2,한국자동차환경협희,1661-9408,37.0753821,127.045238,2018-02-19
보은군청 대형주차장 충전소,군청 입구 대형주차장,충청북도,연중무휴,12:00,24:00:00,N,Y,,,1,N,충청북도 보은군 보은읍 군청길 38-1,,한국환경공단,1661-9408,36.491241,127.730309,2018-02-19
망미동 공영주차장,망미동 979-73,부산광역시,연중무휴,0:00,0:00,N,Y,"DC차데모, AC3상, DC콤보",0,1,Y,부산광역시 수영구 금련로 43번길 17,부산광역시 수영구 망미동 979-73,환경부(한국자동차환경협회),02-3473-1221,35.170713,129.096868,2017-11-20
민락동 매립지 공영주차장,민락동113-46,부산광역시,연중무휴,0:00,0:00,N,Y,"DC차데모, AC4상, DC콤보",0,1,Y,부산광역시 수영구 민락수변로 17번길 60,부산광역시 수영구 민락동 113-46,한국전력,02-1899-2100,35.155122,129.12732,2017-11-20
수변공원,민락수변로 95,부산광역시,연중무휴,0:00,0:00,N,Y,"DC차데모, AC5상, DC콤보",0,1,Y,부산광역시 수영구 민락수변로 95,부산광역시 수영구 민락동 110-27,환경부(한국자동차환경협회),02-1661-9408,35.1551,129.130972,2017-11-20
사상구청 부설주차장,외부주차장 및 내부주차장,부산광역시,연중무휴,0:00,23:59,N,Y,,7,1,Y,부산광역시 사상구 학감대로 242,,,051-310-4154,35.1524223,128.9915872,2018-02-19
개화산역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,5,1,Y,서울특별시 강서구 양천로 22  (방화동),서울특별시 강서구 방화동 846,서울특별시시설관리공단,02-2290-6449,37.572362,126.805774,2018-01-12
개화역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,서울특별시 강서구 개화동로8길,서울특별시 강서구 개화동 664,서울특별시시설관리공단,02-2290-6449,37.578556,126.796745,2018-01-12
구파발역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,2,1,Y,서울특별시 은평구 진관2로 15-40,서울특별시 은평구 진관동 70-1,서울특별시시설관리공단,02-2290-6449,37.638085,126.919142,2018-01-12
