도서관코드,도서관명,자치구코드,자치구명,주소,전화번호,홈페이지,도서관구분,LAT,LON
74,하상시각장애인도서관,8,강남구,서울 강남구 개포동 12-5 하상장애인복지회관,02-451-6000,http://onsori.or.kr,장애인도서관,37.492508,127.075112
76,한국시각장애인복지재단점자도서관[이동도서관],10,강동구,서울 강동구 상일동 126,440-5201,http://www.hsb.or.kr,장애인도서관,37.551057,127.169232
77,한국점자도서관,10,강동구,서울 강동구 암사2동 510-23,3426-7411~4,http://infor.kbll.or.kr,장애인도서관,37.55069,127.124835
71,강서점자도서관,1,강서구,서울 강서구 공항동 301-13,"02-2661-2278,2291",http://www.ksbl.or.kr/,장애인도서관,37.557364,126.812944
73,실로암점자도서관,5,관악구,서울특별시 관악구 남부순환로 1717,02-880-0500,http://www.silwel.or.kr,장애인도서관,37.483948,126.941548
70,서울점자도서관,22,노원구,서울 노원구 공릉2동 421-19 현대프라자,935-9696,http://kbuwel.or.kr,장애인도서관,37.626914,127.079629
870,"영광시각장애인 모바일점자도서관",14,서대문구,서울특별시 서대문구 북아현로 26-10,0,,장애인도서관,37.559424,126.957031
871,성북점자도서관,19,성북구,서울특별시 성북구 동소문로25가길 20,923-4555,www.sorimaeul.net,장애인도서관,37.595343,127.019211
75,인성시각장애인도서관,9,송파구,송파구 마천동 211-90,422-6070,http://hotlineworld.net/,장애인도서관,37.493856,127.155172
873,한국학생점자도서관,17,종로구,서울특별시 종로구 누하동 64 태평타운 402호,738-0890,http://www.silwel.or.kr,장애인도서관,37.579846,126.968488
68,종달새전화도서관,15,중구,서울특별시 중구 퇴계로12길 17,02-736-3000,http://www.jongdal.or.kr/,장애인도서관,37.558783,126.981765
