온도11,온도21,온도31,온도41,온도12,온도22,온도32,온도42,온도13,온도23,온도33,온도43
4.43,3.43,5.56,9.33,5.83,3.88,6.81,2.58,6.47,3.78,7.58,7.12
4.16,4.29,5.04,9.98,5.62,4.91,7.5,5.97,6.39,10.82,7.98,3.81
2.71,5.15,6.81,11.09,2.58,3.19,7.05,6.58,6.04,6.45,8.15,4.38
6.01,4.14,6.26,10.71,-1.38,2.19,7.74,11.08,6.02,4.39,7.68,-1.34
2.44,4.09,5.97,10.09,2.87,5.55,7.28,6.21,6.78,1.49,8.14,6.2
7.06,1.37,6.35,9.67,6.6,7.29,7.07,11.48,4.8,3.89,7.79,-3.62
0.61,2.78,6.03,11.02,3.62,4.86,7.91,4,6.08,7.28,8.05,4.82
5.62,4.75,5.34,9.88,2.72,4.36,7.26,5.22,5.8,5.59,8,5.63
1.95,2.58,4.94,9.55,-0.07,3.91,7.35,4.78,5.13,3.64,7.76,9.71
3.71,3.89,5.9,9.32,2.79,7.33,7.01,3.65,5.65,2.24,8.35,7.7
2.86,4.3,5.84,9.71,2.38,6.7,6.92,6.23,5.93,4.68,8.14,8.1
2.73,3.65,5.47,10.83,2.79,7.31,6.64,7.65,5.77,1.39,8.57,-3.19
2.82,3.15,6.21,10.54,4.17,5.75,6.36,5.84,6.49,13.02,8.14,10.41
4.84,2.54,5.84,10.28,3.53,5.05,6.89,8.01,6.34,9.72,7.93,2.26
3.06,4.26,6.41,9.18,6.53,5.5,7.01,10.96,5.44,7.04,7.97,14.59
5.72,2.09,6.65,9.86,0.87,5.03,7.91,10.86,6.27,5.35,7.89,1.31
3.23,3.07,5.69,10.55,1.01,2.1,7.59,2.87,6.39,3.6,7.74,-0.72
3.35,3.89,5.56,9.84,1.81,8.8,6.82,8.88,5.4,10.54,7.57,6.85
2.89,3.03,6.07,9.66,3.94,2.21,7.47,4.55,5.88,1.13,8,3.95
2.15,3.84,6.71,10.03,8.35,6.4,6.46,7.47,6.83,7.88,8.31,9.04
3.42,4.86,5.13,9.65,6.74,2.03,7.06,8.11,6.25,5.7,8.08,2.09
4.99,4.02,5.58,9.82,3.24,2.71,7.24,6,6.46,7.59,7.94,0.23
4.63,4.14,5.64,11.2,2.44,3.08,6.15,5.55,6.88,9.23,8.16,7.04
4.99,5.6,6.19,10.28,6.53,2.1,7.6,8.37,6.06,4.96,8.04,3
6.47,3.89,7.19,10.62,4.62,4.36,6.66,8.2,6.13,5.61,8.12,8.32
3.71,4.29,5.77,10.02,3.16,2.8,6.09,2.82,6.54,-3.36,8.1,6.57
3.31,2.02,5.79,9.77,3.92,4.81,6.38,5.19,6,4.53,7.97,3.09
6.11,4.03,5.15,10.33,6.37,8.53,6.01,11.9,6.19,7.49,8.21,4.7
2.87,3.24,5.48,9.26,3.79,5.98,6.79,6.23,5.73,11.57,8.06,5.47
0.98,2.78,6.38,10.73,4.4,1.12,7.41,9.67,5.59,1.56,7.69,-0.68
1.21,5,5.63,9.89,5.56,5.46,6.72,7.42,5.98,5.69,8.13,1.68
1.69,3.98,5.76,8.49,2.92,4.65,6.39,5.94,5.72,5.07,8.39,5.19
0.13,4.95,5.82,9.57,-0.05,8.38,6.83,8.25,6.39,9.14,8.06,11.41
5.84,3.09,5.97,9.79,3.96,5.51,7,8.5,5.68,4.26,8.4,7.23
1.81,1.6,6.81,10.99,6.44,3.98,7.12,10.42,5.61,4.98,8.1,5.95
5.24,4.16,6.62,9.96,3.65,1.98,7.22,7.36,5.55,2.11,8.11,7.71
7.77,4.94,7,9.26,5.33,4.59,6.88,5.44,6.56,4.94,7.95,5.83
2.19,6.54,5.07,9.86,2.9,6.88,6.96,4.11,5.81,1.52,7.59,1.39
3.74,4.89,5.77,9.55,2.17,2.71,7.56,0.37,5.7,4.53,7.77,8.86
1.85,5.06,6.52,9.21,4.87,2.97,7.79,9.61,5.94,3.2,7.96,-0.35
8.84,3.38,5.85,9.67,3.23,6.47,6.59,8.07,5.76,4.51,7.78,0.1
0.84,4.35,6.16,9.07,5.68,6.33,7.25,11.14,6.84,2.95,7.69,5.25
5.36,3.52,5.68,11.34,5.91,3.92,7.01,6.48,6.34,9.99,7.99,10.77
4.74,4.42,5.07,10.14,3.18,3.52,7.66,9.94,5.64,3.28,7.88,1.71
4.86,2.82,5.4,10.31,4.2,3.96,7.47,9.46,6.15,4.89,8.48,8.21
5.05,3.62,6.95,9.42,5.84,6.71,7.54,4.38,6.13,3.81,8.02,3.27
4.23,2.54,5.87,10.65,6.92,4.62,6.85,7.99,6.56,7.14,8.09,5.94
4.22,4.05,6.89,10.26,3.21,5.02,7.52,12.76,5.84,8.8,8.1,-1.74
1.21,4.45,6.43,9.53,3.03,7.76,7.35,5.02,6.41,3.93,8.01,-0.25
3.9,4.06,6.35,9.95,3.37,6.24,6.37,8.18,6.59,1.92,8.13,11.57
2.25,3.36,6.81,9.8,6.42,6.93,6.53,9.97,6.99,6.23,8.11,4.1
8.68,3.76,5.2,10.64,2.49,7.94,7.69,7.3,5.98,6.59,8.15,4.27
4.46,2.36,5.7,9.92,2.7,3.87,6.77,10.24,6.04,3.91,8.2,-6.29
4.68,3.78,5.84,10.54,3.49,4.3,7.66,9.62,6.62,7.05,8.21,8.88
-1.44,2.22,5.54,10.36,1.41,4.83,7.33,5.49,6.14,5.61,8.01,3.47
0.35,3.98,5.87,9.85,3.15,5.41,6.46,8.4,6.11,1.15,7.75,5.82
1.05,5.75,4.96,9.98,3.2,3.5,6.73,7.15,6.69,6.83,7.47,5.45
1.83,4.7,5.29,9.57,4.12,4.95,6.35,9.4,6.44,1.41,7.91,5.57
1.86,5.48,6.31,9.75,5.36,3.08,7.1,4.68,6.01,8.97,7.7,2.39
4.29,5.35,6.12,9.3,7.14,5.21,5.23,7.68,5.18,6.12,7.94,11.54
2.53,3.67,6.65,9.79,5.62,2.61,7.61,8.15,5.95,9.91,7.95,4.54
2.4,4.36,5.83,9.82,1.46,4.04,7.15,8.93,6.56,4.71,8.06,3.32
5.38,2.17,5.81,9.89,7.01,7.28,7.41,8.54,5.74,0.32,8.33,10.49
-1.22,4.89,5.79,11.25,5.61,3.81,6.89,4.82,4.85,0.83,8.34,2.51
2.85,3.28,5.52,10.07,4.13,3.11,7.72,5.08,6.14,8.86,8.18,-1.39
4.73,4.94,6.12,9.26,6.69,5.67,7.09,6.32,5.69,3.18,8.05,-4.35
5.15,2.13,5.41,10.46,5.08,-1.49,6.51,4.15,5.94,2.06,8.08,3.59
2.59,5.15,6.25,9.86,3.69,4.7,6.96,13.96,5.94,5.91,7.99,1.62
2.13,3.5,5.91,10.7,2.84,4.91,7.45,8.21,5.41,4.23,7.68,3.14
2.64,5.43,6.39,10.03,5.77,9.19,6.28,6.79,5.91,1.8,8.39,4.3
2.14,3.98,6.62,10.8,-0.42,3.38,6.96,7.41,5.74,-2.59,8.24,12.67
2.15,3.36,5.79,9.99,3.69,2.9,6.6,6.82,5.89,3.65,8.23,6.58
0.29,4.5,5.79,9.73,1.75,9.07,6.23,7.73,5.72,6.06,7.9,3.21
2.61,3.94,5.98,10.99,-0.04,5.23,8.05,7.42,5.78,3.95,8.12,9.09
3.47,3.37,5.67,9.32,4.45,4.49,7.08,6.1,5.72,4.56,8.1,2.77
1.89,3.11,6.8,10.21,3.74,5.52,7.26,6.88,6.91,3.64,7.69,6.09
0.77,6.41,5.97,9.51,-0.05,3.61,7.06,5.8,6.3,5.7,7.97,8.65
-0.26,3.05,6.43,10.6,3.44,2.08,6.21,5.56,6.15,7.1,8.08,3.63
2.22,4.56,6.19,10.22,4.84,6.04,7.04,9.76,6.86,8.98,8.08,-3.61
6.45,3.79,6.71,9.79,5.29,4.68,7.67,6.4,5.55,0.28,7.87,2.03
1.88,2.98,5.9,9.81,4.59,4.3,7.69,12.41,6.29,5.65,8.38,11.45
1.73,2.61,4.66,10.44,5.44,1.87,6.74,8.38,5.49,4.24,8.37,3.15
8.56,2.51,6.3,9.47,4.39,2.91,7.76,10.63,5.76,8.16,8.14,8.55
-0.91,2.59,5.48,9.61,4.73,5.46,7.75,6.57,6.26,11.67,7.87,5.77
3.29,2.5,6.25,10.2,3.77,2.6,7.41,1.27,5.72,4.98,7.81,4.28
4.33,4.69,5.51,10.38,1.93,5.5,7.83,8.05,5.76,6.29,7.74,-6.5
2.04,3.76,5.95,9.14,4.51,6.98,7.51,11.4,6.74,8.17,7.87,6.87
5.37,6,5.72,10.1,5.85,6.39,7.26,7.77,6.8,9.57,7.63,1.58
4.61,4.63,5.88,9.42,8.55,1.84,6.03,6.67,5.63,8.6,8.1,2.52
3.11,5.65,5.67,9.68,3.12,4.75,7.34,8.78,5.98,-1.18,7.71,1.87
0.67,4.5,5.51,10.66,4.02,4.52,7.04,8.04,6.5,1.53,7.76,11.25
3.65,4.85,6.1,10.5,-0.25,6.31,6.58,5.11,5.07,4.09,8.14,-0.79
2.36,4.47,5.39,9.9,2.42,5.27,6.92,12.97,5.78,10.7,8.08,-6.77
1.23,3.6,5.86,9.53,6.58,1.88,6.5,7.32,6.47,5.43,8.23,6.19
3.3,4.92,5.85,10.16,3.49,3.82,7.61,3.44,6.19,5.28,8.1,7.08
4.16,3.99,5.68,10.79,5.14,6.75,6.91,3.99,5.85,5.3,7.99,3.25
2.84,5.03,6.87,10.45,5.33,6.37,6.33,9.59,5.5,6.78,8.09,3.08
4.7,3.2,5.07,10.2,2.1,8.16,7.07,12.18,6.4,8.82,7.7,10.52
-2.02,5,6.02,10.04,4.03,2.54,6.35,11.38,6.73,8.02,8.02,-4.66
4.48,3.69,5.4,10.53,4.47,3.16,6.33,7.97,4.9,-2.09,8.04,-0.31
